Date,Message
20251108,友達と長電話。カードの話で盛り上がった。
20251109,今日は特に何もせず、だらだら過ごした。
20251110,なんとなく、温かい飲み物が恋しい季節。
20251111,ポッキーの日だけど、特にポッキーは食べなかった。
20251112,デッキの調整、終わりが見えない。
20251113,なんとなく、新しい趣味を始めてみたくなる。
20251114,今日はちょっと肌寒い。温かいお茶でも飲もう。
20251115,大会で使われたデッキ、研究しがいがあるなぁ。
20251116,なんとなく、遠くへ行きたい気分。
20251117,カードショップで、思わぬ掘り出し物を見つけた。
20251118,寝坊したけど、なんとなく気分は悪くない。
20251119,「このカード、もう一枚欲しいな」って、よくなる。
20251120,なんとなく、SNSを眺めていたら時間が溶けた。
20251121,プレイミスから学んだこと、今日は多かった。
20251122,いい夫婦の日だけど、特に予定はない。
20251123,勤労感謝の日。たまにはゆっくり休むのも大事。
20251124,なんとなく、ラーメンが食べたくなった。
20251125,新しいスリーブ、早く使いたい。
20251126,デッキ、ギリギリまで悩む。
20251127,なんとなく、昔のアルバムを見ていた。
20251128,今日は対戦でたくさん笑った。
20251129,いい肉の日だけど、お肉は食べなかった。
20251130,11月も終わり。あっという間だったなぁ。
20251201,師走。なんだか慌ただしくなる予感。
20251202,なんとなく、クリスマスの飾り付けを考え始めた。
20251203,今日のドロー、神がかってた。
20251204,デッキのキーカード、いつも守りたくなる。
20251205,なんとなく、映画でも見に行きたいな。
20251206,寒くなってきたから、お風呂が気持ちいい。
20251207,デッキのサイドボード、これでもう完璧。たぶん。
20251208,なんとなく、雪が降る景色を想像した。
20251209,パック開封する瞬間が一番好き。
20251210,対戦中に、相手の手札を読もうとした。
20251211,なんとなく、年末年始の計画を立て始めた。
20251212,今日はちょっと贅沢して、美味しいものを食べた。
20251213,デッキのバランス、これでいいはず。
20251214,なんとなく、イルミネーションを見に行きたくなった。
20251215,友達の誕生日。お祝いのメッセージを送った。
20251216,スリーブの色、気分で変えたらテンション上がった。
20251217,なんとなく、大掃除の計画を立ててみた。
20251218,
20251219,来年の抱負、そろそろ考え始めようかな。
20251220,なんとなく、静かな場所で本を読みたくなった。
20251221,冬至。カボチャを食べ損ねた。
20251222,デッキのコンセプト、もっと尖らせたい。
20251223,天皇誕生日。祝日ってやっぱり嬉しい。
20251224,クリスマスイブ。ケーキが美味しい。
20251225,クリスマス。サンタさん、今年もありがとう。
20251226,年末モード突入。なんだかソワソワする。
20251227,なんとなく、今年を振り返ってみた。
20251228,今日の対戦、ギリギリの勝利で痺れた。
20251229,デッキのクリーニング、丁寧にやった。
20251230,なんとなく、年越し蕎麦が食べたくなった。
20251231,大晦日。今年もお世話になりました。
20260101,謹賀新年。今年もよろしくお願いいたします。
20260102,お正月。お餅をたくさん食べた。
20260103,なんとなく、初詣に行きたくなった。
20260104,今年の目標、改めて紙に書き出した。
20260105,仕事始め。気合を入れ直す。
20260106,なんとなく、暖炉のあるカフェに行きたい。
20260107,七草粥の日。胃に優しい。
20260108,デッキの新しい戦略、試すのが楽しみ。
20260109,なんとなく、雪だるまを作りたい衝動に駆られた。
20260110,今日はちょっと、贅沢な夕食にした。
20260111,鏡開き。お汁粉が美味しい季節。
20260112,成人の日。若者がまぶしい。
20260113,なんとなく、過去の偉人の言葉を調べてみた。
20260114,デッキ構築で徹夜。でも後悔はない。
20260115,小正月。だんごを食べ損ねた。
20260116,なんとなく、新しい文房具が欲しくなった。
20260117,阪神淡路大震災からもう何年だろう。
20260118,今日の対戦、頭を使いすぎて疲れた。
20260119,なんとなく、コーヒー豆を挽いてみたくなった。
20260120,大寒。一番寒い時期だけど、心は熱い。
20260121,デッキを回す練習、地道に続ける。
20260122,なんとなく、遠くの街並みを眺めていた。
20260123,カードの整理、まだまだ終わりそうにない。
20260124,今日は集中力が高かった。
20260125,なんとなく、散歩中に写真を撮りたくなった。
20260126,休日に朝寝坊。最高の贅沢。
20260127,なんとなく、今日はドロー運が良かった気がする。
20260128,なんとなく、昔のゲームを引っ張り出してみた。
20260129,今日の対戦、ゲームプランが大切だと再確認。
20260130,月末。あっという間の一ヶ月だった。
20260131,なんとなく、春の訪れを感じたくなった。
20260201,2月が始まった。節分が近い。
20260202,デッキをちょっと調整したら、すごくしっくりきた。
20260203,節分。豆まきで邪気を払った。
20260204,立春。春はもうすぐそこ。
20260205,なんとなく、猫と戯れたくなった。
20260206,今日はなぜか、ずっと空腹だった。
20260207,デッキのアイデア、尽きることがない。
20260208,なんとなく、絵を描いてみたくなった。
20260209,出かける前に、デッキの中身を最終確認。
20260210,雪が降って、景色が真っ白になった。
20260211,建国記念の日。静かに過ごした。
20260212,なんとなく、甘い香りに癒されたい。
20260213,バレンタインデー前日。チョコの匂いがする。
20260214,バレンタインデー。
20260215,今日の対戦、読み合いが深くて楽しかった。
20260216,なんとなく、新しい靴が欲しくなった。
20260217,デッキの動き、もっとスムーズにしたい。
20260218,今日はちょっとだけ、頑張りすぎたかも。
20260219,なんとなく、ホットチョコレートが飲みたい気分。
20260220,カードショップで、店員さんとおしゃべり。
20260221,対戦後の雑談、これがまた楽しい。
20260222,猫の日。我が家の猫もゴロゴロ。
20260223,天皇誕生日。今年も穏やかな日。
20260224,なんとなく、星空を見上げたくなった。
20260225,デッキの組み直し、もう何回目だろう。
20260226,今日はちょっとだけ、早起きに成功した。
20260227,なんとなく、昔の夢を思い出した。
20260228,2月も終わり。短い月だったなぁ。
20260301,3月が始まった。卒業シーズン。
20260302,今日の引き運、過去最高だったかも。
20260303,ひな祭り。ちらし寿司が美味しかった。
20260304,なんとなく、桜の開花が待ち遠しい。
20260305,デッキのテーマ、もっと深く掘り下げたい。
20260306,今日はちょっと、体がだるい。
20260307,なんとなく、新しいカフェを開拓したくなった。
20260308,対戦中に、相手の表情を観察していた。
20260309,カードの入れ替え、慎重に。
20260310,なんとなく、昔の友達に連絡してみたくなった。
20260311,震災の日。黙祷を捧げる。
20260312,今日はちょっと、気分が沈みがち。
20260313,なんとなく、海外旅行に行きたくなった。
20260314,ホワイトデー。お返しを渡した。
20260315,デッキの調整、納得いくまでやる。
20260316,なんとなく、春の陽気に誘われて散歩に出かけた。
20260317,今日の対戦、予想外の展開で盛り上がった。
20260318,新しいカードゲームに挑戦してみようかな。
20260319,なんとなく、公園のベンチでぼーっとしていた。
20260320,春分の日。昼と夜の長さが同じ日。
20260321,デッキ構築の奥深さ、改めて感じた。
20260322,なんとなく、読書に没頭したい気分。
20260323,今日はちょっと、考え事が多かった。
20260324,友達とカフェで、カードの話で盛り上がった。
20260325,なんとなく、昔の写真を整理していた。
20260326,このカード、ずっと探し求めてたやつだ！
20260327,対戦中に、完璧なプレイングができた瞬間。
20260328,なんとなく、ドライブに行きたくなった。
20260329,桜が咲き始めた。春を感じる。
20260330,デッキの調整、これで本当に最後。たぶん。
20260331,3月も終わり。新年度に向けて準備。
20260401,新年度。気分も新たに。
20260402,エイプリルフールは過ぎたけど、今日は特に嘘はつかなかった。
20260403,なんとなく、新しいことを始めてみたい気分。
20260404,今日の対戦、集中力が試された。
20260405,デッキのコンセプト、もっと明確にしたい。
20260406,なんとなく、部屋に花を飾りたくなった。
20260407,新しいカードパック、早く手に入れたい。
20260408,今日は少し肌寒い。暖かい上着を着て出かけよう。
20260409,なんとなく、お気に入りの音楽を聴いていた。
20260410,デッキのカード、一枚一枚に愛着が湧く。
20260411,対戦中に、相手の顔色を伺ってしまった。
20260412,なんとなく、新しい料理に挑戦してみた。
20260413,今日はちょっと、眠気が覚めない一日。
20260414,デッキのACEカード、今日も活躍してくれた。
20260415,なんとなく、映画のサントラを聴いていた。
20260416,カードのイラスト、細部までじっくり眺めていた。
20260417,対戦後の反省会、今日も熱かった。
20260418,なんとなく、プラモデルでも作ってみたくなった。
20260419,今日はちょっと、甘いものが欲しい気分。
20260420,デッキの調整、これで完璧！…と言いたい。
20260421,なんとなく、過去の偉人について調べていた。
20260422,新しいスリーブ、どの色にしようか迷う。
20260423,今日は少し、疲れが溜まっているみたい。
20260424,なんとなく、美術館に行きたくなった。
20260425,デッキのコンセプト、ブレずに貫きたい。
20260426,対戦中に、相手の意図を読んで先手を打てた。
20260427,なんとなく、手紙を書いてみたくなった。
20260428,月末。今月もあっという間だった。
20260429,昭和の日。昔を懐かしむ。
20260430,なんとなく、GWの計画を立ててみた。
20260501,5月が始まった。新緑の季節。
20260502,デッキの新しいコンボ、早く試したい。
20260503,憲法記念日。今日はのんびり過ごす。
20260504,みどりの日。公園で散歩。
20260505,こどもの日。柏餅を食べた。
20260506,なんとなく、GW明けの仕事が億劫。
20260507,今日の対戦、運に恵まれた勝利だった。
20260508,デッキのカード、一枚足りない！焦った。
20260509,なんとなく、昔の友達と再会したくなった。
20260510,母の日。感謝の気持ちを伝える。
20260511,今日はちょっと、体が重い。
20260512,なんとなく、美味しいパンが食べたい。
20260513,デッキのキーカード、引いた瞬間にガッツポーズ。
20260514,対戦相手のプレイング、見習うべき点が多かった。
20260515,なんとなく、ベランダで日光浴。
20260516,新しいカード情報、早く公開されないかな。
20260517,今日はちょっと、ぼーっと過ごした。
20260518,なんとなく、サイクリングに出かけたくなった。
20260519,デッキの調整、もう少しで終わりそう。
20260520,対戦中に、新しい戦略を思いついた。
20260521,なんとなく、お気に入りのTシャツを着てみた。
20260522,今日は少し、蒸し暑い一日だった。
20260523,デッキのカード、並べ替えるだけでも楽しい。
20260524,なんとなく、知らない街を散策したくなった。
20260525,今日の対戦、一進一退の攻防で面白かった。
20260526,デッキのコンセプト、もっと洗練させたい。
20260527,なんとなく、星を眺めたい気分。
20260528,今日はちょっと、集中力が続かなかった。
20260529,新しいスリーブ、触り心地がいい。
20260530,月末。来月も頑張ろう。
20260531,なんとなく、アイスクリームが食べたくなった。
20260601,6月が始まった。梅雨の季節。
20260602,デッキの調整、本当にこれでいいのか自問自答。
20260603,なんとなく、雨音を聴きながら読書。
20260604,今日の対戦、読みが当たって気持ちよかった。
20260605,カードの整理、いつの間にか増えてる。
20260606,なんとなく、アジサイを見に出かけたくなった。
20260607,デッキのACEカード、引けない時は本当に引けない。
20260608,今日は少し、気が重い一日。
20260609,なんとなく、新しい傘が欲しくなった。
20260610,時の記念日。時間を大切に。
20260611,デッキ構築、試行錯誤が楽しい。
20260612,なんとなく、雨上がりの匂いが好き。
20260613,今日の対戦、相手のデッキが強すぎた。
20260614,父の日。感謝の気持ちを伝える。
20260615,なんとなく、夏の計画を立て始めた。
20260616,デッキの新しい戦略、秘密にしておきたい。
20260617,今日はちょっと、気分転換が必要みたい。
20260618,なんとなく、水族館に行きたくなった。
20260619,カードショップで、珍しいカードを見つけた。
20260620,対戦中に、まさかの逆転勝利！
20260621,夏至。今日が一番昼が長い。
20260622,なんとなく、冷たいビールが飲みたい。
20260623,デッキの調整、もうこれ以上は無理。
20260624,今日はちょっと、体がだるい。
20260625,なんとなく、花火大会の計画を立て始めた。
20260626,新しいカード情報、ワクワクが止まらない。
20260627,対戦相手との絆、カードゲームで深まる。
20260628,なんとなく、かき氷が食べたくなった。
20260629,月末。来月はもっと頑張るぞ。
20260630,6月も終わり。今年も半分が過ぎた。
20260701,7月が始まった。夏本番！
20260702,今日の引き運、本当にツイてた。
20260703,なんとなく、海に行きたくなった。
20260704,今日はちょっと、エアコンが効きすぎてる。
20260705,今日はちょっと、エアコンが効きすぎてる。
20260706,なんとなく、風鈴の音に癒されたい。
20260707,七夕。短冊に願い事を書いた。
20260708,デッキの調整、終わりなき旅。
20260709,なんとなく、夏フェスに行きたくなった。
20260710,対戦中に、相手のプランを崩すのが楽しかった。
20260711,今日はちょっと、暑さにやられた。
20260712,なんとなく、冷やし中華が食べたい。
20260713,デッキの新しい戦略検討中、みんなを驚かせたい。
20260714,友達と深夜までカードの話で盛り上がった。
20260715,なんとなく、夏の夕焼けを見上げていた。
20260716,新しいカード情報、予想外の発表だった。
20260717,対戦中に、まさかの逆転負け。悔しい！
20260718,なんとなく、夏の思い出を写真に残したい。
20260719,今日はちょっと、気分が晴れない。
20260720,海の日。暑いけど、海は気持ちいい。
20260721,デッキの調整、もう少し練り直そう。
20260722,なんとなく、スイカ割りがしたくなった。
20260723,今日の対戦、集中力が最後まで持った。
20260724,カードショップで、新しい出会いがあった。
20260725,なんとなく、夏の夜空を眺めていた。
20260726,今日はちょっと、早めに寝よう。
20260727,デッキコンセプト、やっぱりこれが一番しっくりくる。
20260728,なんとなく、夏の旅行の計画を立て始めた。
20260729,月末。来月も暑そうだな。
20260730,今日はちょっと、体がだるい。
20260731,なんとなく、お祭りに行きたくなった。
20260801,8月が始まった。夏休み真っ只中。
20260802,デッキの調整、細かすぎて伝わらない。
20260803,なんとなく、流しそうめんが食べたい。
20260804,今日の対戦、新しいデッキを試してみた。
20260805,カードのイラスト、夏っぽいものが増えてきた。
20260806,広島原爆の日。平和を願う。
20260807,なんとなく、ひまわり畑を見に行きたくなった。
20260808,今日はちょっと、寝苦しい夜だった。
20260809,長崎原爆の日。改めて平和を願う。
20260810,なんとなく、花火の音が聞こえてきた。
20260811,山の日。山へは行かないけど、感謝。
20260812,お盆休み。実家に帰省する人も多いのかな。
20260813,なんとなく、線香花火がしたい気分。
20260814,デッキ構築、夏の暑さにも負けず。
20260815,終戦記念日。過去を忘れずに。
20260816,なんとなく、セミの声がうるさい。
20260817,今日の対戦、最後まで諦めなかった。
20260818,新しいカードパック、開封動画を見るのが楽しい。
20260819,なんとなく、涼しい場所でまったりしたい。
20260820,今日はちょっと、夏バテ気味。
20260821,デッキのキーカード、今日も光り輝いてた。
20260822,なんとなく、夕立の後の匂いが好き。
20260823,今日の対戦、まさかのプレミで負けた。
20260824,月末。夏も終わりに近づいてる。
20260825,机の上にカードが散らばってる。片付ける気はない。
20260826,相手のプレイが上手すぎて、ちょっと尊敬した。
20260827,スリーブの色、気分で変えたらテンション上がった。
20260828,なんとなく、今日はドロー運が良かった気がする。
20260829,今日はカードの整理だけで満足した。
20260830,カードの整理中に、昔のメモが出てきた。
20260831,なんとなく、何も考えずに歩いてたら目的地に着いてた。
20260901,目覚ましより早く起きた。得した気分。
20260902,「このカード、昔は環境トップだったんだよなぁ」って言いたくなる。
20260903,なんとなく、カレーが食べたい気分。
20260904,デッキの中身、昨日と変えてないのに気分は違う。
20260905,「今それ引く？」って、今日も言ってしまった。
20260906,引きたいカードほど、なぜかデッキの底にいる。
20260907,机の上が散らかってるけど、片付ける気はない。
20260908,デッキを組んでる時間が一番楽しい説。
20260909,今日の初手、なぜか全部重いカードだった。
20260910,電車の中でカードのことばかり考えてた。
20260911,今日は「まあいっか」が口癖になってる。
20260912,イラストだけで選んだカードが、意外と強かった。
20260913,電車で隣の人が寝てた。ちょっと羨ましい。
20260914,「事故った」で済ませるの、今日も便利だった。
20260915,タクティクスデッキ、今日も使わずに終わった。
20260916,スマホの充電、あと3%。ギリギリのスリル。
20260917,「このカード、今日の主役だったな」って思えた。
20260918,スマホの充電が切れそうなのに、対戦は白熱してる。
20260919,負けたけど、最後の一手は自分を褒めたい。
20260920,タクティクスデッキ、結局使わないまま終わることが多い。
20260921,勝ち負けより、楽しかったかどうかが大事…って思いたい。
20260922,対戦後の反省会、今日も盛り上がった。
20260923,カードのイラストだけでデッキを組みたくなる衝動。
20260924,プレイ中に「このカード、やっぱり抜こうかな」と思った。
20260925,「このカード、絶対今日活躍する」って信じてる。
20260926,「まあいっか」でデッキに入れたカードが意外と活躍。
20260927,目覚ましより早く起きたけど、結局二度寝した。
20260928,負けたけど、あの一手は我ながら良かった。
20260929,「事故った」で済ませるの、ちょっと便利。
20260930,デッキのテーマがブレてきたけど、それもまた味。
20261001,デッキの方向性が迷子。でもそれもまた楽しい。
20261002,カードの裏面、意外と好き。
20261003,デッキ構築中に、気づいたら2時間経ってた。
20261004,「このカード、今引くのかよ！」っていつも思ってる。
20261005,引きたいカードが、今日も底にいる。
20261006,友達のデッキ、ちょっと真似したくなった。
20261007,カードの効果、何回読んでも間違える。
20261008,「このカード、昔は強かったんだよなぁ」って言いたくなる。
20261009,カレー食べながらデッキ構築してたら、スパイシーな構成になった。
20261010,なんとなく、カードを1枚だけ持ち歩いてる。
20261011,目的地に着いたけど、途中ずっとカードのこと考えてた。






